 Fwd Packet Length Mean, Fwd Packet Length Max, Avg Fwd Segment Size, Subflow Fwd Bytes,Total Length of Fwd Packets, Flow IAT Max, Average Packet Size, Bwd Packet Length Std, Flow Duration, Avg Bwd Segment Size, Bwd Packets/s, Packet Length Mean,Init_Win_bytes_forward, Init_Win_bytes_backward, Packet Length Std, Fwd IAT Max, Fwd Packet Length Std, Packet Length Variance, Total Length of Bwd Packets, Flow Packets/s,Label
133.5,201,133.5,534,534,0.00025010108947753906,133.5,0.0,0.0003509521484375,0.0,0.0,133.5,2589,0,50.31152949374527,0.00025010108947753906,50.31152949374527,2531.25,0,11397.565217391304,normal
297.05882352941177,1440,297.05882352941177,5050,5050,0.2788660526275635,297.05882352941177,0.0,0.5651311874389648,0.0,0.0,297.05882352941177,2589,0,431.06795841849174,0.2788660526275635,431.06795841849174,185819.5847750865,0,30.08151094445841,normal
66,66,66,66,66,0.0,66,0.0,1e-09,0.0,0.0,66,16385,0,0.0,0.0,0.0,0.0,0,999999999.9999999,normal
576.6842105263158,1440,576.6842105263158,10957,10957,0.09153199195861816,576.6842105263158,0.0,0.11140894889831543,0.0,0.0,576.6842105263158,20,0,605.235582895887,0.09153199195861816,605.235582895887,366310.1108033241,0,170.5428530462268,normal
72.66666666666667,78,72.66666666666667,218,218,0.010113000869750977,72.66666666666667,0.0,0.010189056396484375,0.0,0.0,72.66666666666667,65535,0,4.988876515698588,0.010113000869750977,4.988876515698588,24.88888888888889,0,294.43354548858105,normal
453.7826086956522,1440,453.7826086956522,10437,10437,0.12868499755859375,453.7826086956522,0.0,0.1807708740234375,0.0,0.0,453.7826086956522,2061,0,526.8595189811234,0.12868499755859375,526.8595189811234,277580.95274102077,0,127.23288596269097,normal
119.27272727272727,263,119.27272727272727,1312,1312,0.08952498435974121,119.27272727272727,0.0,0.16364002227783203,0.0,0.0,119.27272727272727,2588,0,70.48157839153421,0.08952498435974121,70.48157839153421,4967.652892561983,0,67.22071927687672,normal
136.16666666666666,397,136.16666666666666,817,817,0.03098893165588379,136.16666666666666,0.0,0.03285694122314453,0.0,0.0,136.16666666666666,21,0,117.85219085315677,0.03098893165588379,117.85219085315677,13889.138888888889,0,182.60981627144224,normal
1243.375,1440,1243.375,49735,49735,0.011322975158691406,1243.375,0.0,0.02097177505493164,0.0,0.0,1243.375,2048,0,470.60783501233806,0.011322975158691406,470.60783501233806,221471.734375,0,1907.3254359837204,normal
1100.15,1440,1100.15,44006,44006,0.001859903335571289,1100.15,0.0,0.005193948745727539,0.0,0.0,1100.15,2048,0,588.7668702466198,0.001859903335571289,588.7668702466198,346646.4275,0,7701.269680973147,normal
948.55,1440,948.55,37942,37942,0.003996849060058594,948.55,0.0,0.009268999099731445,0.0,0.0,948.55,8,0,648.4885099213401,0.003996849060058594,648.4885099213401,420537.3475,0,4315.460555083982,normal
1371.3,1440,1371.3,54852,54852,0.00030493736267089844,1371.3,0.0,0.0004990100860595703,0.0,0.0,1371.3,2048,0,299.45635742124426,0.00030493736267089844,299.45635742124426,89674.11,0,80158.70043000478,normal
1011.3,1440,1011.3,40452,40452,0.0036721229553222656,1011.3,0.0,0.0059909820556640625,0.0,0.0,1011.3,2048,0,625.4229448940932,0.0036721229553222656,625.4229448940932,391153.86,0,6676.701687360714,normal
774.2051282051282,1440,774.2051282051282,30194,30194,0.00518488883972168,774.2051282051282,0.0,0.01086115837097168,0.0,0.0,774.2051282051282,23,0,683.1637255234922,0.00518488883972168,683.1637255234922,466712.6758711374,0,3590.7772143562725,normal
258,258,258,258,258,0.0,258,0.0,1e-09,0.0,0.0,258,2048,0,0.0,0.0,0.0,0.0,0,999999999.9999999,normal
873.975,1440,873.975,34959,34959,0.03215789794921875,873.975,0.0,0.03695082664489746,0.0,0.0,873.975,2048,0,665.7563926655155,0.03215789794921875,665.7563926655155,443231.574375,0,1082.5197602317673,normal
73,101,73,2920,2920,1.1920928955078125e-06,73,0.0,9.059906005859375e-06,0.0,0.0,73,155,0,14.0,1.1920928955078125e-06,14.0,196,0,4415056.842105263,normal
73.4,109,73.4,2936,2936,0.00013780593872070312,73.4,0.0,0.00027108192443847656,0.0,0.0,73.4,155,0,14.402777509911067,0.00013780593872070312,14.402777509911067,207.44,0,147556.86895338612,normal
69.5,101,69.5,2780,2780,0.0030307769775390625,69.5,0.0,0.003515005111694336,0.0,0.0,69.5,2048,0,10.5,0.0030307769775390625,10.5,110.25,0,11379.784304415654,normal
72.325,101,72.325,2893,2893,0.0018589496612548828,72.325,0.0,0.0033447742462158203,0.0,0.0,72.325,180,0,13.265344888090924,0.0018589496612548828,13.265344888090924,175.969375,0,11958.953596122317,normal
71.25,101,71.25,2850,2850,0.0003409385681152344,71.25,0.0,0.0006821155548095703,0.0,0.0,71.25,212,0,12.497499749949988,0.0003409385681152344,12.497499749949988,156.1875,0,58641.090527787484,normal
108.425,1440,108.425,4337,4337,0.08923506736755371,108.425,0.0,0.09826803207397461,0.0,0.0,108.425,242,0,214.71607851998417,0.08923506736755371,214.71607851998417,46102.994375,0,407.04997501006875,normal
145.3846153846154,953,145.3846153846154,1890,1890,0.11729907989501953,145.3846153846154,0.0,0.12737298011779785,0.0,0.0,145.3846153846154,274,0,233.6162331232533,0.11729907989501953,233.6162331232533,54576.54437869822,0,102.06246244672349,normal
573.3333333333334,1080,573.3333333333334,1720,1720,0.04019808769226074,573.3333333333334,0.0,0.04044508934020996,0.0,0.0,573.3333333333334,2048,0,396.83273834478706,0.04019808769226074,396.83273834478706,157476.22222222222,0,74.17464144447916,normal
614.7083333333334,1440,614.7083333333334,14753,14753,0.047276973724365234,614.7083333333334,0.0,0.06997013092041016,0.0,0.0,614.7083333333334,2048,0,614.5034227709576,0.047276973724365234,614.5034227709576,377614.45659722225,0,343.0035028417997,normal
765.7,1440,765.7,15314,15314,0.8490231037139893,765.7,0.0,0.9009528160095215,0.0,0.0,765.7,21,0,583.4706590737875,0.8490231037139893,583.4706590737875,340438.01,0,22.198720781609317,normal
173.75,530,173.75,3475,3475,0.39774298667907715,173.75,0.0,0.9132099151611328,0.0,0.0,173.75,2589,0,152.4752029019801,0.39774298667907715,152.4752029019801,23248.6875,0,21.900769656526414,normal
507.1111111111111,1440,507.1111111111111,13692,13692,0.20917797088623047,507.1111111111111,0.0,0.28537702560424805,0.0,0.0,507.1111111111111,2048,0,615.3965498605326,0.20917797088623047,615.3965498605326,378712.9135802469,0,94.61168061034724,normal
223.76923076923077,896,223.76923076923077,2909,2909,0.08649015426635742,223.76923076923077,0.0,0.15211200714111328,0.0,0.0,223.76923076923077,2589,0,257.3952823206881,0.08649015426635742,257.3952823206881,66252.33136094674,0,85.46333878784459,normal
447.5,1440,447.5,2685,2685,0.0008990764617919922,447.5,0.0,0.0017840862274169922,0.0,0.0,447.5,2048,0,547.2719464154301,0.0008990764617919922,547.2719464154301,299506.5833333333,0,3363.066149939864,normal
143.73684210526315,612,143.73684210526315,2731,2731,0.34008193016052246,143.73684210526315,0.0,1.1502900123596191,0.0,0.0,143.73684210526315,2589,0,126.62952266782155,0.34008193016052246,126.62952266782155,16035.036011080332,0,16.517573651730505,normal
198.9,1334,198.9,1989,1989,0.09064006805419922,198.9,0.0,0.10091400146484375,0.0,0.0,198.9,65535,0,378.56160661113006,0.09064006805419922,378.56160661113006,143308.89,0,99.09427685794209,normal
258,258,258,258,258,0.0,258,0.0,1e-09,0.0,0.0,258,2048,0,0.0,0.0,0.0,0.0,0,999999999.9999999,normal
79.5,95,79.5,318,318,0.010771036148071289,79.5,0.0,0.012626886367797852,0.0,0.0,79.5,9,0,13.573871960498227,0.010771036148071289,13.573871960498227,184.25,0,316.7843507486641,normal
331.6666666666667,1360,331.6666666666667,2985,2985,0.07875990867614746,331.6666666666667,0.0,0.13193893432617188,0.0,0.0,331.6666666666667,2048,0,402.91493450161965,0.07875990867614746,402.91493450161965,162340.44444444444,0,68.21337496747333,normal
128.6,528,128.6,1286,1286,0.005693912506103516,128.6,0.0,0.0158078670501709,0.0,0.0,128.6,65535,0,139.71413672209408,0.005693912506103516,139.71413672209408,19520.04,0,632.5964134352895,normal
95.3,212,95.3,953,953,0.0075571537017822266,95.3,0.0,0.017498016357421875,0.0,0.0,95.3,65535,0,53.91484025757658,0.0075571537017822266,53.91484025757658,2906.81,0,571.4933507739263,normal
102.5,258,102.5,1025,1025,0.0046329498291015625,102.5,0.0,0.01181793212890625,0.0,0.0,102.5,65535,0,68.67204671480238,0.0046329498291015625,68.67204671480238,4715.85,0,846.171723692705,normal
116,116,116,116,116,0.0,116,0.0,1e-09,0.0,0.0,116,2048,0,0.0,0.0,0.0,0.0,0,999999999.9999999,normal
85.5,105,85.5,171,171,8.106231689453125e-05,85.5,0.0,8.106231689453125e-05,0.0,0.0,85.5,16384,0,19.5,8.106231689453125e-05,19.5,380.25,0,24672.376470588235,normal
161.44736842105263,530,161.44736842105263,6135,6135,0.5006489753723145,161.44736842105263,0.0,1.1541728973388672,0.0,0.0,161.44736842105263,2581,0,139.6314127997107,0.5006489753723145,139.6314127997107,19496.93144044321,0,32.92400998811804,normal
175.64,896,175.64,4391,4391,1.0220000743865967,175.64,0.0,2.717829942703247,0.0,0.0,175.64,2046,0,182.31179446212468,1.0220000743865967,182.31179446212468,33237.5904,0,9.198515185661005,normal
54,54,54,54,54,0.0,54,0.0,1e-09,0.0,0.0,54,2048,0,0.0,0.0,0.0,0.0,0,999999999.9999999,normal
302.85714285714283,1440,302.85714285714283,4240,4240,0.023360013961791992,302.85714285714283,0.0,0.05030393600463867,0.0,0.0,302.85714285714283,2048,0,421.6574197044761,0.023360013961791992,421.6574197044761,177794.97959183675,0,278.30824209678184,normal
468.4,1360,468.4,2342,2342,0.09802794456481934,468.4,0.0,0.11576008796691895,0.0,0.0,468.4,2048,0,495.1014441505902,0.09802794456481934,495.1014441505902,245125.44,0,43.1927798934367,normal
786.1666666666666,1440,786.1666666666666,23585,23585,0.08490681648254395,786.1666666666666,0.0,0.10932588577270508,0.0,0.0,786.1666666666666,65535,0,639.2489386424944,0.08490681648254395,639.2489386424944,408639.2055555555,0,274.4089360718445,normal
66,66,66,66,66,0.0,66,0.0,1e-09,0.0,0.0,66,25,0,0.0,0.0,0.0,0.0,0,999999999.9999999,normal
